sdg,doi,keys
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Inclusive Institutions', 'link': 'https://sdg-pathfinder.org/topic/inclusive-institutions'}, {'key': 'Inclusive Societies', 'link': 'https://sdg-pathfinder.org/topic/inclusive-societies'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}, {'key': 'Violence Prevention Programmes', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention-programmes'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Global Governance', 'link': 'https://sdg-pathfinder.org/topic/global-governance'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Inclusive Institutions', 'link': 'https://sdg-pathfinder.org/topic/inclusive-institutions'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Trafficking Flows', 'link': 'https://sdg-pathfinder.org/topic/trafficking-flows'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}, {'key': 'Child Trafficking', 'link': 'https://sdg-pathfinder.org/topic/child-trafficking'}, {'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Domestic Trafficking', 'link': 'https://sdg-pathfinder.org/topic/domestic-trafficking'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Citizen Engagement', 'link': 'https://sdg-pathfinder.org/topic/citizen-engagement'}, {'key': 'Access To Information', 'link': 'https://sdg-pathfinder.org/topic/access-to-information'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'International Humanitarian Law', 'link': 'https://sdg-pathfinder.org/topic/international-humanitarian-law'}, {'key': 'Crime Prevention', 'link': 'https://sdg-pathfinder.org/topic/crime-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Justice System', 'link': 'https://sdg-pathfinder.org/topic/justice-system'}, {'key': 'Justice Sector', 'link': 'https://sdg-pathfinder.org/topic/justice-sector'}, {'key': 'Representative Decision Making', 'link': 'https://sdg-pathfinder.org/topic/representative-decision-making'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery Offences', 'link': 'https://sdg-pathfinder.org/topic/bribery-offences'}, {'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Anti-bribery Laws', 'link': 'https://sdg-pathfinder.org/topic/anti-bribery-laws'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Organized Crime', 'link': 'https://sdg-pathfinder.org/topic/organized-crime'}, {'key': 'Organized Criminal Groups', 'link': 'https://sdg-pathfinder.org/topic/organized-criminal-groups'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'School Violence', 'link': 'https://sdg-pathfinder.org/topic/school-violence'}, {'key': 'Violence Prevention Programmes', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention-programmes'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Homicide Rate', 'link': 'https://sdg-pathfinder.org/topic/homicide-rate'}, {'key': 'Violent Crime', 'link': 'https://sdg-pathfinder.org/topic/violent-crime'}]"
